0.000000e+00  7.091415e-03  -8.721520e-03
1.000000e-01  7.109066e-03  -8.743017e-03  1.126850e-02
2.000000e-01  7.162108e-03  -8.807611e-03  1.135208e-02
3.000000e-01  7.250805e-03  -8.915623e-03  1.149185e-02
4.000000e-01  7.375598e-03  -9.067583e-03  1.168848e-02
5.000000e-01  7.537109e-03  -9.264242e-03  1.194296e-02
6.000000e-01  7.736141e-03  -9.506566e-03  1.225654e-02
7.000000e-01  7.973685e-03  -9.795751e-03  1.263077e-02
8.000000e-01  8.250924e-03  -1.013322e-02  1.306751e-02
9.000000e-01  8.569237e-03  -1.052064e-02  1.356892e-02
1.000000e+00  8.930209e-03  -1.095991e-02  1.413748e-02
1.100000e+00  9.335636e-03  -1.145320e-02  1.477599e-02
1.200000e+00  9.787535e-03  -1.200294e-02  1.548762e-02
1.300000e+00  1.028815e-02  -1.261183e-02  1.627588e-02
1.400000e+00  1.083998e-02  -1.328287e-02  1.714467e-02
1.500000e+00  1.144577e-02  -1.401936e-02  1.809829e-02
1.600000e+00  1.210851e-02  -1.482492e-02  1.914143e-02
1.700000e+00  1.283152e-02  -1.570352e-02  2.027927e-02
1.800000e+00  1.361838e-02  -1.665948e-02  2.151740e-02
1.900000e+00  1.447300e-02  -1.769748e-02  2.286195e-02
2.000000e+00  1.539962e-02  -1.882263e-02  2.431953e-02
2.100000e+00  1.640284e-02  -2.004044e-02  2.589735e-02
2.200000e+00  1.748763e-02  -2.135690e-02  2.760316e-02
2.300000e+00  1.865937e-02  -2.277844e-02  2.944536e-02
2.400000e+00  1.992385e-02  -2.431202e-02  3.143301e-02
2.500000e+00  2.128732e-02  -2.596514e-02  3.357587e-02
2.600000e+00  2.275653e-02  -2.774588e-02  3.588445e-02
2.700000e+00  2.433871e-02  -2.966291e-02  3.837005e-02
2.800000e+00  2.604164e-02  -3.172555e-02  4.104483e-02
2.900000e+00  2.787371e-02  -3.394383e-02  4.392183e-02
3.000000e+00  2.984388e-02  -3.632848e-02  4.701506e-02
3.100000e+00  3.196179e-02  -3.889102e-02  5.033953e-02
3.200000e+00  3.423777e-02  -4.164380e-02  5.391133e-02
3.300000e+00  3.668287e-02  -4.460001e-02  5.774768e-02
3.400000e+00  3.930891e-02  -4.777378e-02  6.186699e-02
3.500000e+00  4.212854e-02  -5.118018e-02  6.628895e-02
3.600000e+00  4.515527e-02  -5.483531e-02  7.103457e-02
3.700000e+00  4.840348e-02  -5.875633e-02  7.612623e-02
3.800000e+00  5.188853e-02  -6.296148e-02  8.158779e-02
3.900000e+00  5.562672e-02  -6.747017e-02  8.744459e-02
4.000000e+00  5.963539e-02  -7.230299e-02  9.372354e-02
4.100000e+00  6.393289e-02  -7.748174e-02  1.004531e-01
4.200000e+00  6.853865e-02  -8.302944e-02  1.076635e-01
4.300000e+00  7.347315e-02  -8.897035e-02  1.153864e-01
4.400000e+00  7.875794e-02  -9.532995e-02  1.236552e-01
4.500000e+00  8.441558e-02  -1.021349e-01  1.325048e-01
4.600000e+00  9.046964e-02  -1.094129e-01  1.419716e-01
4.700000e+00  9.694454e-02  -1.171929e-01  1.520934e-01
4.800000e+00  1.038655e-01  -1.255043e-01  1.629091e-01
4.900000e+00  1.112584e-01  -1.343774e-01  1.744583e-01
5.000000e+00  1.191495e-01  -1.438428e-01  1.867815e-01
5.100000e+00  1.275649e-01  -1.539310e-01  1.999189e-01
5.200000e+00  1.365307e-01  -1.646721e-01  2.139102e-01
5.300000e+00  1.460722e-01  -1.760950e-01  2.287937e-01
5.400000e+00  1.562131e-01  -1.882268e-01  2.446055e-01
5.500000e+00  1.669750e-01  -2.010917e-01  2.613781e-01
5.600000e+00  1.783767e-01  -2.147100e-01  2.791391e-01
5.700000e+00  1.904326e-01  -2.290971e-01  2.979095e-01
5.800000e+00  2.031520e-01  -2.442611e-01  3.177015e-01
5.900000e+00  2.165371e-01  -2.602020e-01  3.385165e-01
6.000000e+00  2.305817e-01  -2.769090e-01  3.603422e-01
6.100000e+00  2.452694e-01  -2.943584e-01  3.831500e-01
6.200000e+00  2.605712e-01  -3.125112e-01  4.068914e-01
6.300000e+00  2.764437e-01  -3.313105e-01  4.314948e-01
6.400000e+00  2.928268e-01  -3.506789e-01  4.568624e-01
6.500000e+00  3.096419e-01  -3.705161e-01  4.828668e-01
6.600000e+00  3.267898e-01  -3.906968e-01  5.093482e-01
6.700000e+00  3.441495e-01  -4.110690e-01  5.361125e-01
6.800000e+00  3.615777e-01  -4.314538e-01  5.629305e-01
6.900000e+00  3.789090e-01  -4.516457e-01  5.895387e-01
7.000000e+00  3.959573e-01  -4.714149e-01  6.156413e-01
7.100000e+00  4.125190e-01  -4.905113e-01  6.409160e-01
7.200000e+00  4.283771e-01  -5.086705e-01  6.650207e-01
7.300000e+00  4.433073e-01  -5.256213e-01  6.876039e-01
7.400000e+00  4.570854e-01  -5.410961e-01  7.083163e-01
7.500000e+00  4.694955e-01  -5.548411e-01  7.268251e-01
